IDSite;NomSite;NumSite;Type;Village;Departement;Coord.Value;lat;lng;MetriqueX;MetriqueY
ALPGAR 3;Allée couverte de la Pégarié;27835;Allée couverte;Montirat;81; N44.1731979 E2.0907741;44.1731979;2.0907741;580325.498356485;1908023.49892488
CHCAS0-4;Château de Castelnau-de-Lévis;26236;Château;Castelnau-de-Lévis;81; N43.9397947 E2.0838677;43.9397947;2.0838677;579689.000371132;1882064.99670385
CHPENN-3;Château de Penne;32138;Château;Penne;81; N44.0782552 E1.7276497;44.0782552;1.7276497;551177.496895011;1897622.50197939
CRROCD X;Cupules du Roc d'Albine;28513;Cups & rings;Albine;81; N43.442043 E2.537127;43.442043;2.537127;616260.999647138;1826676.0032719
DLALBE-2;Dolmen des Alberts;31875;Dolmen;Penne;81; N44.0876672 E1.7146063;44.0876672;1.7146063;550139.99991657;1898677.5028897
DLCAB4 0;Dolmen des Cabanes;32287;Dolmen;Saint-Beauzile;81; N44.037469 E1.805854;44.037469;1.805854;557417.09320118;1893040.63697297
DLCARE 3;Dolmen de la Carelle;30158;Dolmen;Bout-du-Pont-de-Larn;81; N43.51128 E2.43328;43.51128;2.43328;607831.62030924;1834364.28006288
DLCAS0-3;Dolmen de Castelsec;11295;Dolmen;Murat-sur-Vèbre;81; N43.67225 E2.84184;43.67225;2.84184;640802.591795484;1852400.18091339
DLCAY4 X;Dolmen du Cayrou de l'Empiri;32290;Dolmen;Alos;81; N44.0289905 E1.8646314;44.0289905;1.8646314;562127.497545336;1892067.49612011
DLDEVZ 0;Dolmen de la Devèze de Barsalès;31899;Dolmen;Penne;81; N44.1047669 E1.7096142;44.1047669;1.7096142;549754.997666166;1900582.49929526
DLFAG0-1;Dolmen de la Fage (A);22829;Dolmen;Saint-Beauzile;81; N44.04303 E1.79426;44.04303;1.79426;556491.110238052;1893665.5108808
DLFAG1-2;Dolmen de la Fage (B);22830;Dolmen;Saint-Beauzile;81; N44.04265 E1.79489;44.04265;1.79489;556541.362281754;1893622.89689747
DLGARB 0;Dolmen de la Garrigue (A);31900;Dolmen;Penne;81; N44.1161518 E1.6588476;44.1161518;1.6588476;545697.499656948;1901882.49965954
DLGAZE 0;Dolmen de La Gazelle;29383;Dolmen;Vindrac-Alayrac;81; N44.0541022 E1.8824175;44.0541022;1.8824175;563570.965077652;1894852.11629004
DLGEZE 0;Dolmen de Grézelles;22833;Dolmen;Milhars;81; N44.11716 E1.86038;44.11716;1.86038;561845.821090522;1901875.9669539
DLLAGA-0;Dolmen de Lagarde;11297;Dolmen;Murat-sur-Vèbre;81; N43.68423 E2.8437;43.68423;2.8437;640944.203473063;1853733.94919247
DLLASB+1;Dolmen de Las Bories;31898;Dolmen;Penne;81; N44.05361 E1.72375;44.05361;1.72375;550843.433936376;1894883.86079971
DLLHO0 0;Dolmens du Mas l'Homp (A);30172;Dolmen;Marnaves;81; N44.0946733 E1.8546954;44.0946733;1.8546954;561374.99747076;1899377.77805942
DLLOUP-2;Dolmen du Peyrou;22827;Dolmen;Tonnac;81; N44.0718652 E1.8619044;44.0718652;1.8619044;561937.497412284;1896837.50525215
DLMA80 0;Dolmen du Mas l'Homp (B);32288;Dolmen;Marnaves;81; N44.0946733 E1.8546954;44.0946733;1.8546954;561374.99747076;1899377.77805942
DLMARN 2;Dolmen de Martre de Bel Air;31886;Dolmen;Penne;81; N44.0973775 E1.7552665;44.0973775;1.7552665;553407.497926418;1899732.50480699
DLNOUG-0;Dolmen de Nougayrol;9375;Dolmen;Trévien;81; N44.08508 E2.12688;44.08508;2.12688;583189.385281461;1898214.62838617
DLPAL4-0;Dolmen dit Palet de Notre-Dame;9747;Dolmen;Alban;81; N43.8867 E2.44949;43.8867;2.44949;609084.673970915;1876132.5974695
